#distance(nm) energy(J/m)
0.2 7.84491e-18
0.248 7.66596e-18
0.296 7.51351e-18
0.344 7.38625e-18
0.392 7.28097e-18
0.44 7.19436e-18
0.488 7.12345e-18
0.536 7.06579e-18
0.584 7.01939e-18
0.632 6.98263e-18
0.68 6.95418e-18
0.728 6.93297e-18
0.776 6.91809e-18
0.824 6.90882e-18
0.872 6.90452e-18
0.92 6.90466e-18
0.968 6.9088e-18
1.016 6.91654e-18
1.064 6.92756e-18
1.112 6.94155e-18
1.16 6.95828e-18
1.208 6.9775e-18
1.256 6.99902e-18
1.304 7.02267e-18
1.352 7.04829e-18
1.4 7.07573e-18
1.448 7.10488e-18
1.496 7.13561e-18
1.544 7.16782e-18
1.592 7.20141e-18
1.64 7.23631e-18
1.688 7.27243e-18
1.736 7.30971e-18
1.784 7.34806e-18
1.832 7.38745e-18
1.88 7.4278e-18
1.928 7.46906e-18
1.976 7.5112e-18
2.024 7.55416e-18
2.072 7.59791e-18
2.12 7.64239e-18
2.168 7.68759e-18
2.216 7.73346e-18
2.264 7.77998e-18
2.312 7.82711e-18
2.36 7.87483e-18
2.408 7.92311e-18
2.456 7.97192e-18
2.504 8.02125e-18
2.552 8.07107e-18
2.6 8.12137e-18
2.648 8.17211e-18
2.696 8.22329e-18
2.744 8.27489e-18
2.792 8.32689e-18
2.84 8.37928e-18
2.888 8.43204e-18
2.936 8.48515e-18
2.984 8.53861e-18
3.032 8.5924e-18
3.08 8.6465e-18
3.128 8.70092e-18
3.176 8.75563e-18
3.224 8.81063e-18
3.272 8.86591e-18
3.32 8.92145e-18
3.368 8.97725e-18
3.416 9.0333e-18
3.464 9.0896e-18
3.512 9.14612e-18
3.56 9.20287e-18
3.608 9.25984e-18
3.656 9.31702e-18
3.704 9.37441e-18
3.752 9.43199e-18
3.8 9.48977e-18
3.848 9.54773e-18
3.896 9.60587e-18
3.944 9.66419e-18
3.992 9.72268e-18
4.04 9.78133e-18
4.088 9.84014e-18
4.136 9.8991e-18
4.184 9.95822e-18
4.232 1.00175e-17
4.28 1.00769e-17
4.328 1.01364e-17
4.376 1.01961e-17
4.424 1.02559e-17
4.472 1.03158e-17
4.52 1.03759e-17
4.568 1.04361e-17
4.616 1.04964e-17
4.664 1.05568e-17
4.712 1.06173e-17
4.76 1.06779e-17
4.808 1.07386e-17
4.856 1.07995e-17
4.904 1.08604e-17
4.952 1.09214e-17
